Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_relative_laminar_volume_difference,Bok_1929_relative_laminar_thickness_difference,Lamina,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,1,-63,I,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,3,-6,II,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,-10,-26,III,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,1,2,IV,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,2,9,V,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,4,21,VI,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,3,-28,I,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,0,-11,II,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,-1,-23,III,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,0,0,IV,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,0,8,V,,,,
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,1,26,VI,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,8,-10,I,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,1,-15,II,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,-1,-13,III,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,0,6,IV,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,-2,1,V,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,2,21,VI,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,8,-10,I,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-2,-18,II,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,1,-12,III,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-2,1,IV,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-1,1,V,,,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,4,28,VI,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,4,-44,I,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,1,-15,II,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,1,-9,III,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-2,-5,IV,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-2,9,V,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,2,20,VI,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,7,-44,I,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,4,-14,II,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,0,-14,III,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-1,-6,IV,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-1,10,V,,,,
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-2,24,VI,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,4,-27,I,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,-1,-18,II,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,1,-3,III,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,-1,5,IV,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,0,6,V,,,,
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,1,10,VI,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,3,-41,I,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,3,-6,II,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,-1,-8,III,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,0,-2,IV,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,-2,8,V,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,23,0,8,VI,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,8,-43,I,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,3,-7,II,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,-5,-23,III,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,-2,-4,IV,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,6,17,V,,,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,24,-2,17,VI,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,0,-41,I,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,-1,-17,II,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,-2,-15,III,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,-3,-6,IV,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,2,6,V,,,,
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,25,4,32,VI,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,5,-18,I,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,-3,-16,II,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,3,-8,III,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,-2,-8,IV,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,1,2,V,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,26,1,30,VI,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,6,-19,I,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,-3,-16,II,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,3,0,III,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,-1,-6,IV,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,1,1,V,,,,
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,27,0,26,VI,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,2,-44,I,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,3,-6,II,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,-3,-12,III,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,1,-1,IV,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,2,5,V,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,28,-3,14,VI,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,1,-45,I,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,3,-6,II,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,0,-11,III,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,0,-2,IV,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,3,5,V,,,,
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,29,-6,14,VI,,,,
