Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_gyri_to_wall_thickness_difference,Bok_1929_sulci_to_wall_thickness_difference,Lamina,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,19,-3,VI,-19,3
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-11,51,I,11,-51
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-3,3,II,3,-3
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-24,0,III,24,0
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-3,-2,IV,3,2
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,5,-2,V,-5,2
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,25,1,VI,-25,-1
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,0,63,I,0,-63
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,0,6,II,0,-6
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,-4,22,III,4,-22
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,2,0,IV,-2,0
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,0,-9,V,0,9
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,16,2,-19,VI,-2,19
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,-28,-25,I,28,25
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,-11,-9,II,11,9
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,-23,-9,III,23,9
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,0,2,IV,0,-2
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,8,5,V,-8,-5
Very curved,"R. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,17,26,11,VI,-26,-11
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,-3,7,I,3,-7
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,0,15,II,0,-15
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,-9,4,III,9,-4
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,-5,-11,IV,5,11
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,0,-1,V,0,1
